File Number,Rarity Score,Position
5972,1413.6,517
703,1412.53,518
2024,1407.33,519
932,1407.14,520
2217,1404.19,521
2968,1403.62,522
6169,1403.37,523
5639,1402.3,524
5163,1401.51,525
3348,1399.95,526
5477,1399,527
6013,1397.63,528
103,1396.99,529
261,1396.5,530
3118,1396.44,531
3738,1395.94,532
158,1394.05,533
2820,1392.12,534
5665,1391.62,535
5915,1391.2,536
3532,1388.24,537
3866,1387.28,538
2785,1386.03,539
4556,1385.62,540
3553,1383.96,541
5770,1383.16,542
1472,1382.81,543
121,1382.7,544
748,1382.12,545
4614,1381.02,546
4956,1380.92,547
2103,1380.88,548
4540,1380.61,549
3860,1380.04,550
3547,1379.7,551
503,1379.6,552
976,1379.25,553
5523,1378.76,554
3073,1378.72,555
5467,1378.27,556
302,1377.21,557
4070,1375.82,558
2872,1375.65,559
2660,1375,560
3824,1373.72,561
310,1372.71,562
2770,1370.79,563
571,1370.66,564
1346,1369.41,565
6562,1368.52,566
1685,1368.47,567
5382,1368.23,568
5301,1365.89,569
1031,1364.83,570
240,1364.58,571
4891,1362.8,572
1675,1361.78,573
6277,1361.57,574
1676,1360.77,575
2564,1360.22,576
2653,1360.1,577
6334,1359.43,578
3461,1358.18,579
4617,1356.72,580
4854,1355.5,581
639,1355.35,582
1029,1354.8,583
2324,1354.6,584
6498,1353.88,585
1794,1353.46,586
4658,1349.55,587
4905,1348.32,588
6649,1347.82,589
3443,1347.36,590
5642,1347.26,591
6152,1347.22,592
6307,1345.69,593
1911,1345.45,594
1977,1345.16,595
2950,1344.5,596
4793,1344.32,597
6393,1341.37,598
2592,1341.36,599
4795,1341.06,600
1013,1340.05,601
4979,1337.7,602
5623,1337.54,603
527,1337.09,604
3905,1336.21,605
1752,1333.48,606
5504,1332.95,607
3394,1332.13,608
3958,1331.84,609
553,1331.61,610
3189,1329.37,611
6239,1328.64,612
4675,1327.55,613
6089,1326.41,614
4760,1326.38,615
2441,1325.66,616
5145,1325.62,617
5119,1324.84,618
1919,1323.36,619
6235,1322.37,620
3410,1319.64,621
1386,1318.88,622
3285,1318.88,623
6137,1317.98,624
1196,1317.12,625
1595,1314.79,626
2507,1314.71,627
2555,1314.45,628
2456,1312.69,629
2970,1312.22,630
5737,1311.09,631
2623,1310.74,632
4808,1309.97,633
87,1309.54,634
1086,1308.42,635
5892,1308.36,636
5715,1307.1,637
1451,1306.05,638
3290,1305.97,639
1764,1305.63,640
1772,1303.65,641
3580,1302.14,642
5171,1301.66,643
2659,1300.89,644
4125,1299.87,645
1273,1299.74,646
3581,1299.64,647
457,1298.96,648
2961,1298.91,649
1580,1297.77,650
5784,1297.4,651
4063,1296.35,652
4932,1296.01,653
5574,1295.61,654
3273,1295.46,655
4309,1295.35,656
3711,1294.67,657
3244,1294.29,658
1383,1294.14,659
4297,1294.03,660
3870,1293.82,661
1254,1293.23,662
5375,1293.13,663
670,1292.47,664
2803,1292.27,665
4907,1291.49,666
627,1290.79,667
2006,1288.96,668
6142,1288.7,669
5329,1288.5,670
126,1287.25,671
3578,1287.09,672
1627,1285.81,673
443,1285.8,674
4741,1284.95,675
4674,1284.4,676
2268,1283.6,677
297,1282.52,678
6350,1282.49,679
2994,1281.7,680
5703,1281.15,681
1822,1280.75,682
3408,1280.54,683
5883,1278.73,684
3307,1277.89,685
2922,1276.71,686
62,1276.69,687
2545,1276.63,688
6199,1276.61,689
6223,1276.14,690
2624,1276,691
2520,1275.78,692
5791,1274.94,693
6134,1274.16,694
6616,1273.87,695
3595,1272.85,696
4376,1271.73,697
1938,1268.99,698
4090,1268.26,699
6003,1267.54,700
6047,1266.18,701
637,1265.75,702
1567,1264.98,703
3715,1264.59,704
1979,1262.27,705
2705,1261.46,706
5312,1261.2,707
3179,1260.68,708
114,1260.13,709
3971,1259.67,710
1466,1258.94,711
2528,1257.26,712
4021,1256.76,713
6494,1256.54,714
550,1256.14,715
3166,1256.05,716
5277,1254.6,717
3615,1254.04,718
6061,1252.89,719
4827,1250.8,720
489,1250.56,721
5551,1250.13,722
497,1249.21,723
3339,1248.26,724
3963,1247.98,725
2620,1247.73,726
454,1247.4,727
3515,1246.54,728
1083,1242.8,729
1859,1242.47,730
1421,1242.45,731
1244,1242.19,732
6641,1242.13,733
1301,1242.1,734
1613,1241.92,735
4492,1241.02,736
1420,1240.93,737
3378,1240.6,738
142,1237.88,739
5020,1237.13,740
4400,1236.68,741
1848,1236.25,742
2510,1235.18,743
6098,1234.3,744
1997,1233.45,745
4539,1231.57,746
3277,1231.36,747
6579,1231.15,748
1470,1230.6,749
5773,1230.52,750
2885,1230.5,751
6412,1230.09,752
3072,1229.31,753
421,1228.2,754
3828,1227.96,755
5143,1227.87,756
6612,1227.22,757
4612,1227.14,758
4588,1226.29,759
5518,1226.1,760
6046,1225.78,761
1873,1225.45,762
3226,1225.31,763
6080,1224.76,764
770,1224.42,765
4596,1224.23,766
1326,1223.45,767
3634,1221.71,768
199,1221.26,769
3052,1220.85,770
1327,1220.73,771
6472,1220.36,772
6460,1220.32,773
4487,1219.05,774
2418,1218.67,775
5307,1218.19,776
4385,1218.16,777
3406,1217.77,778
6317,1217.67,779
2511,1217.48,780
6457,1217.23,781
2992,1217.14,782
3619,1217.07,783
2480,1216.38,784
2893,1216.11,785
3123,1215.98,786
2330,1214.89,787
491,1214.63,788
2865,1214.42,789
2015,1214.18,790
2429,1213.72,791
811,1213.43,792
1782,1213.09,793
5114,1212.63,794
6336,1212.58,795
2712,1212.22,796
2714,1211.61,797
6421,1211.07,798
4157,1210.17,799
3030,1209.55,800
6119,1209.37,801
518,1208.71,802
3872,1207.81,803
1670,1207.56,804
4599,1207.45,805
1080,1207.37,806
124,1207.25,807
2218,1207.22,808
1407,1206.6,809
3821,1206.3,810
1027,1206.24,811
5849,1204.86,812
6161,1204.07,813
60,1202.67,814
837,1202.52,815
2572,1202.12,816
258,1199.98,817
4074,1199.55,818
4743,1199.2,819
4101,1198.2,820
3347,1197.92,821
699,1196.68,822
2907,1196.59,823
5127,1196.14,824
4444,1195.69,825
5888,1195.65,826
3099,1195.57,827
961,1195.24,828
6209,1194.99,829
1185,1194.8,830
6066,1194.73,831
5949,1194.58,832
1106,1194.35,833
55,1193.71,834
2835,1193.37,835
6657,1191.55,836
2834,1191.22,837
2159,1191.17,838
3992,1189.74,839
1574,1189.37,840
1252,1189,841
6467,1188.67,842
6266,1187.71,843
6333,1186.72,844
4056,1185.61,845
5425,1185.33,846
2618,1184.79,847
369,1183.77,848
5117,1183.73,849
4968,1183.59,850
326,1182.63,851
2890,1181.76,852
617,1180.49,853
3061,1180.22,854
5640,1180.06,855
947,1179.22,856
4029,1178.82,857
3537,1177.6,858
5054,1177.51,859
3423,1176.72,860
384,1176.56,861
5563,1176.47,862
52,1176.33,863
3017,1175.85,864
4538,1175.38,865
3538,1174.82,866
6293,1174.8,867
1652,1174.65,868
5836,1174.41,869
1573,1174.18,870
2412,1173.35,871
1551,1173.26,872
5632,1172.84,873
4509,1172.78,874
4920,1170.28,875
5856,1170.14,876
2955,1169.9,877
6069,1167.34,878
6371,1166.97,879
3404,1166.83,880
1460,1166.5,881
5761,1166.27,882
4812,1165.33,883
376,1164.87,884
3809,1164.4,885
5754,1164.05,886
5403,1162.95,887
2672,1162.02,888
177,1161.27,889
1503,1160.9,890
1994,1160.6,891
5400,1159.32,892
4756,1158.96,893
4321,1158.92,894
3890,1158.72,895
168,1158.52,896
4863,1158.31,897
1486,1158.16,898
3253,1158,899
1133,1156.8,900
3528,1156.77,901
4802,1156.41,902
5178,1156.37,903
5562,1156.1,904
1480,1155.87,905
5569,1155.12,906
5531,1154.5,907
1513,1154.49,908
6216,1154.39,909
1945,1154.26,910
1500,1154.15,911
5610,1153.9,912
1853,1153.7,913
3787,1153.43,914
2977,1153.27,915
3482,1152.97,916
3033,1152.37,917
4989,1152.16,918
502,1151.76,919
4495,1151.72,920
1277,1151.69,921
1581,1151.68,922
1020,1151.4,923
3282,1151.33,924
4313,1151.07,925
5192,1150.21,926
4562,1150.1,927
1134,1146.51,928
1423,1146.27,929
3716,1145.7,930
2916,1145.08,931
6191,1144.47,932
5068,1144.08,933
1379,1143.37,934
729,1142.6,935
4062,1140.69,936
5714,1140.64,937
324,1140.59,938
3355,1140.54,939
1860,1140.45,940
2478,1140.45,941
6569,1140.34,942
6424,1140.33,943
6588,1139.59,944
4922,1139.55,945
972,1139.33,946
3111,1139.01,947
4846,1138.92,948
4232,1138.79,949
2783,1138.75,950
2858,1138.49,951
2784,1138.28,952
278,1138.02,953
2047,1137.45,954
1995,1136.88,955
1509,1136.63,956
940,1136.56,957
1660,1136.4,958
5585,1136.18,959
673,1136.15,960
5405,1135.65,961
2220,1135.64,962
606,1134.72,963
1056,1134.54,964
5927,1133.66,965
3315,1132.77,966
6340,1132.17,967
807,1131.3,968
5217,1130.94,969
6296,1130.82,970
259,1130.12,971
2706,1129.1,972
4127,1128.71,973
2582,1128.6,974
1241,1128.34,975
6090,1128.06,976
5496,1127.8,977
5999,1126.88,978
2871,1126.85,979
1773,1126.75,980
544,1126.28,981
3494,1125.35,982
1635,1124.75,983
2959,1124.74,984
3681,1124.39,985
1709,1123.78,986
5354,1123.58,987
1201,1123.01,988
4817,1122.98,989
393,1122.77,990
2296,1122.05,991
4457,1121.51,992
2374,1121.3,993
1769,1120.82,994
2932,1120.05,995
2958,1119.82,996
5735,1119.6,997
4537,1119.57,998
1805,1119.43,999
1361,1119.38,1000
6101,1119.07,1001
6196,1118.73,1002
2013,1118.67,1003
4707,1118.34,1004
5689,1118.25,1005
1366,1118.14,1006
2428,1117.95,1007
2226,1117.91,1008
5601,1117.69,1009
3474,1116.62,1010
5460,1116.54,1011
1010,1116.53,1012
1913,1116.5,1013
6468,1115.76,1014
1028,1115.59,1015
2627,1115.47,1016
576,1115.3,1017
827,1115.29,1018
5092,1114.85,1019
3161,1114.67,1020
5798,1114.16,1021
3426,1114.1,1022
1488,1113.78,1023
1844,1113.63,1024
1317,1113.17,1025
1208,1113.12,1026
1079,1112.99,1027
1758,1112.94,1028
1009,1112.01,1029
8,1111.92,1030
4188,1111.87,1031
1246,1111.6,1032
6036,1111.26,1033
2131,1109.97,1034
2609,1109.37,1035
2042,1109.17,1036
5060,1108.48,1037
5190,1108.18,1038
131,1107.5,1039
4394,1106.71,1040
758,1106.12,1041
1917,1106.07,1042
4405,1105.93,1043
27,1105.75,1044
2522,1103.78,1045
4142,1103.43,1046
1103,1102.99,1047
5231,1102.83,1048
694,1102.69,1049
1536,1102.22,1050
4655,1101.79,1051
4690,1101.71,1052
4560,1101.47,1053
2169,1100.48,1054
365,1100.23,1055
754,1099.64,1056
4998,1099.48,1057
4005,1099.43,1058
4960,1098.91,1059
3477,1097.73,1060
3279,1096.61,1061
5401,1096.41,1062
2194,1096.4,1063
5862,1096.09,1064
6379,1096,1065
1577,1095.85,1066
1534,1095.52,1067
4903,1095.34,1068
2038,1094.66,1069
4098,1094.57,1070
2814,1094.56,1071
4677,1094.52,1072
141,1094.25,1073
529,1094.16,1074
2400,1093.92,1075
1847,1093.58,1076
1482,1093.54,1077
173,1092.56,1078
3949,1092.49,1079
6362,1092.28,1080
5740,1092.21,1081
1889,1091.99,1082
4344,1091.98,1083
3725,1091.88,1084
2048,1091.63,1085
3543,1091.09,1086
3987,1090.81,1087
3506,1090.72,1088
4755,1090.5,1089
1679,1090.41,1090
1547,1090.24,1091
1300,1089.41,1092
1211,1088.78,1093
1376,1088.66,1094
6357,1088.07,1095
505,1087.9,1096
2196,1087.72,1097
4379,1087.61,1098
2444,1087.49,1099
3221,1086.89,1100
362,1086.22,1101
6076,1086.09,1102
4754,1085.92,1103
5464,1085.04,1104
2694,1084.79,1105
4386,1084.77,1106
6508,1084.69,1107
3458,1084.67,1108
3769,1084.52,1109
1545,1084.12,1110
2790,1083.99,1111
647,1083.69,1112
1496,1083.45,1113
4516,1082.76,1114
4733,1082.35,1115
979,1081.94,1116
1616,1080.59,1117
1000,1079.38,1118
5296,1078.95,1119
3240,1078.89,1120
952,1078.85,1121
6613,1078.67,1122
1738,1078.12,1123
3439,1077.92,1124
1453,1076.96,1125
6628,1076.89,1126
1668,1076.86,1127
5439,1076.83,1128
5428,1076.36,1129
4778,1076.06,1130
6028,1075.99,1131
207,1075.23,1132
1099,1074.98,1133
2276,1074.81,1134
49,1074.67,1135
390,1074.26,1136
2269,1074.15,1137
3316,1072.05,1138
5866,1072.04,1139
3644,1072,1140
2602,1071.92,1141
6303,1071.64,1142
5098,1071.62,1143
3141,1071.39,1144
2430,1070.75,1145
2661,1070.68,1146
1427,1070.52,1147
3766,1070.11,1148
3608,1069.64,1149
530,1069.47,1150
4357,1069.42,1151
6202,1069.23,1152
6360,1069.07,1153
1710,1068.39,1154
2197,1068.28,1155
4151,1068.19,1156
1646,1068.07,1157
2161,1068.07,1158
5890,1067.85,1159
1172,1067.77,1160
1538,1067.59,1161
973,1067.53,1162
2908,1067.17,1163
597,1066.12,1164
5194,1065.83,1165
4143,1065.44,1166
4512,1065.43,1167
6503,1065.11,1168
1949,1065.03,1169
4375,1064.64,1170
6543,1064.62,1171
4605,1064.23,1172
3358,1063.69,1173
3301,1063.27,1174
2287,1062.7,1175
2745,1062.02,1176
968,1062,1177
4490,1061.92,1178
3911,1061.71,1179
127,1061.55,1180
3629,1061.41,1181
2352,1061.25,1182
3231,1060.85,1183
5378,1060.68,1184
4691,1060.47,1185
5241,1060.21,1186
3813,1059.91,1187
5771,1059.66,1188
5594,1059.33,1189
4508,1059.29,1190
4840,1058.76,1191
2637,1058.49,1192
5025,1057.47,1193
4713,1057.01,1194
192,1056.61,1195
3383,1056.2,1196
716,1056.1,1197
4496,1056.03,1198
3372,1055.63,1199
6409,1055.62,1200
828,1055.52,1201
6542,1054.95,1202
5480,1054.75,1203
5847,1054.19,1204
5920,1053.99,1205
2210,1053.72,1206
423,1053.65,1207
3881,1053.41,1208
750,1052.68,1209
5898,1051.91,1210
232,1050.74,1211
2941,1049.68,1212
5180,1049.52,1213
1608,1049.4,1214
3363,1049.37,1215
6271,1049.25,1216
4356,1049.25,1217
6396,1048.29,1218
6463,1047.87,1219
458,1047.43,1220
5254,1047.19,1221
6523,1047.15,1222
4818,1046.76,1223
1021,1046.12,1224
4532,1045.37,1225
4931,1045.28,1226
2937,1045.16,1227
4096,1044.49,1228
1411,1044.32,1229
1255,1044.32,1230
5605,1044.2,1231
5984,1043.94,1232
4857,1043.25,1233
437,1043.21,1234
6019,1042.86,1235
459,1042.82,1236
619,1042.39,1237
4045,1042.27,1238
159,1041.93,1239
5965,1041.65,1240
1749,1041.56,1241
4814,1041.51,1242
6195,1041.25,1243
1091,1041.22,1244
6549,1041.06,1245
1057,1040.8,1246
391,1040.37,1247
608,1039.62,1248
832,1039.12,1249
5368,1038.68,1250
4834,1038.52,1251
1121,1038.37,1252
4468,1038.36,1253
3954,1038.09,1254
3063,1037.87,1255
912,1037.06,1256
5943,1036.98,1257
3261,1036.51,1258
3445,1036.44,1259
3624,1036.43,1260
6629,1036.19,1261
4009,1035.62,1262
6114,1035.19,1263
3327,1034.91,1264
4601,1034.87,1265
4170,1034.31,1266
2407,1033.67,1267
3238,1033.63,1268
4396,1033.02,1269
6515,1032.91,1270
2204,1032.57,1271
579,1032.28,1272
1098,1031.97,1273
5211,1031.69,1274
5066,1031.54,1275
2590,1031.21,1276
532,1030.79,1277
2290,1030.77,1278
5389,1030.75,1279
492,1030.34,1280
2078,1030.09,1281
3770,1030.08,1282
3294,1029.6,1283
5660,1029.32,1284
2353,1029.08,1285
5643,1028.99,1286
3306,1028.81,1287
1377,1028.04,1288
946,1027.95,1289
3778,1027.05,1290
66,1027.01,1291
1674,1026.68,1292
1976,1026.5,1293
5018,1026.39,1294
4973,1026.17,1295
4479,1025.52,1296
4367,1025.46,1297
2867,1025.45,1298
963,1025.34,1299
6103,1024.97,1300
844,1023.83,1301
5160,1023.71,1302
1176,1023.66,1303
1231,1023.33,1304
999,1023.25,1305
634,1023.06,1306
3723,1022.97,1307
6091,1022.87,1308
2797,1022.26,1309
3386,1022.19,1310
3353,1022.09,1311
4748,1022.03,1312
6509,1021.87,1313
2764,1021.44,1314
1524,1021.32,1315
4638,1021.23,1316
4616,1020.97,1317
3742,1020.78,1318
6530,1020.6,1319
6190,1020.38,1320
5196,1020.16,1321
2635,1019.86,1322
3295,1019.72,1323
3818,1019.63,1324
6325,1019.47,1325
3724,1019.45,1326
782,1019.14,1327
1790,1018.47,1328
1135,1018.45,1329
2798,1018.26,1330
3684,1018.12,1331
1180,1017.85,1332
3903,1017.38,1333
2815,1016.86,1334
479,1016.8,1335
1348,1016.39,1336
5290,1015.95,1337
5456,1015.69,1338
5091,1015.44,1339
2193,1014.86,1340
1404,1014.01,1341
4460,1014,1342
1059,1013.91,1343
85,1013.63,1344
3248,1013.33,1345
3601,1012.57,1346
1269,1012.5,1347
2020,1011.82,1348
4946,1011.25,1349
5606,1010.53,1350
3676,1009.88,1351
2183,1009.67,1352
6420,1009.46,1353
3864,1008.59,1354
2202,1008.55,1355
5557,1008.32,1356
2892,1007.44,1357
3436,1007.1,1358
5421,1007.04,1359
1375,1006.7,1360
857,1006.67,1361
1638,1006.54,1362
1203,1006.38,1363
3202,1006.35,1364
4799,1005.16,1365
129,1004.95,1366
1614,1004.81,1367
2911,1004.53,1368
477,1004.47,1369
2358,1004.34,1370
1371,1004.13,1371
174,1004.09,1372
2754,1003.73,1373
3744,1003.48,1374
5723,1002.3,1375
1704,1002.29,1376
3049,1002.17,1377
5941,1002.07,1378
885,1001.95,1379
2711,1001.91,1380
3168,1001.84,1381
2917,1001.47,1382
